State;2004;2005;2006;2007;2008;2009;2010;2011;2012;"2013
Confirmed"
Alabama;6;3;11;13;6;3;1;9;13;11
Alaska;3;4;3;10;6;7;7;9;4;14
Arizona;13;10;10;2;2;3;2;8;7;22
Arkansas;0;0;0;1;0;0;0;0;0;0
California;48;95;85;75;74;117;126;79;61;90
Colorado;0;0;0;0;2;0;1;0;0;0
Connecticut;1348;1810;1788;3058;2738;2751;1964;2004;1653;2111
Delaware;339;646;482;715;772;984;656;767;507;400
Florida;46;47;34;30;72;77;56;78;67;87
Georgia;12;6;8;11;35;40;10;32;31;8
Hawaii;0;0;0;0;0;0;0;0;0;0
Idaho;6;2;7;9;5;4;6;3;0;14
Illinois;87;127;110;149;108;136;135;194;204;337
Indiana;32;33;26;55;42;61;62;81;64;101
Iowa;49;89;97;123;85;77;68;72;92;153
Kansas;3;3;4;8;16;18;7;11;9;18
Kentucky;15;5;7;6;5;1;5;3;8;17
Louisiana;2;3;1;2;3;0;2;1;3;0
Maine;225;247;338;529;780;791;559;801;885;1127
Maryland;891;1235;1248;2576;1746;1466;1163;938;1113;801
Massachusetts;1532;2336;1432;2988;3960;4019;2380;1801;3396;3816
Michigan;27;62;55;51;76;81;76;89;80;114
Minnesota;1023;917;914;1238;1046;1063;1293;1185;911;1431
Mississippi;0;0;3;1;1;0;0;3;1;0
Missouri;25;15;5;10;6;3;4;5;1;1
Montana;0;0;1;4;6;3;3;9;6;16
Nebraska;2;2;11;7;8;4;7;7;5;7
Nevada;1;3;4;15;9;10;2;3;10;11
New Hampshire;226;265;617;896;1211;996;830;887;1002;1324
New Jersey;2698;3363;2432;3134;3214;4598;3320;3398;2732;2785
New Mexico;1;3;3;5;4;1;3;2;1;0
New York;5100;5565;4460;4165;5741;4134;2385;3118;2044;3512
North Carolina;122;49;31;53;16;21;21;18;27;39
North Dakota;0;3;7;12;8;10;21;22;10;12
Ohio;50;58;43;33;40;51;21;36;49;74
Oklahoma;3;0;0;1;1;2;0;2;1;1
Oregon;11;3;7;6;18;12;7;9;5;12
Pennsylvania;3985;4287;3242;3994;3818;4950;3298;4739;4146;4981
Rhode Island;249;39;308;177;186;150;115;111;133;444
South Carolina;22;15;20;31;14;25;19;24;35;33
South Dakota;1;2;1;0;3;1;1;2;4;3
Tennessee;20;8;15;31;7;10;6;5;2;11
Texas;98;69;29;87;105;88;55;28;33;48
Utah;1;2;5;7;3;6;3;6;2;10
Vermont;50;54;105;138;330;323;271;476;386;674
Virginia;216;274;357;959;886;698;911;756;805;925
Washington;14;13;8;12;22;15;12;17;13;11
West Virginia;38;61;28;84;120;143;128;107;82;116
Wisconsin;1144;1459;1466;1814;1493;1952;2505;2408;1368;1447
Wyoming;4;3;1;3;1;1;0;1;3;1
